industry_hash_id	code_source	code_	description_	version_	start_date	end_date	created_by	create_date	modified_by	modified_date
2406f0909685a75d8f8dd2ae9b73a550	NASIC	812921	Photofinishing Laboratories (except One-Hour) 	current	2024-12-19		kds_adm	2024-12-19		
c1b623bc53cc624319422ccb7f53f4e8	NASIC	812910	Pet Care (except Veterinary) Services 	current	2024-12-19		kds_adm	2024-12-19		
bc2dc5fbb5e59f763debd15bcdecbec0	NASIC	812332	Industrial Launderers 	current	2024-12-19		kds_adm	2024-12-19		
66e27a9998e00eb188569b8cc85a5c2f	NASIC	812331	Linen Supply 	current	2024-12-19		kds_adm	2024-12-19		
b2d8e6a55d5da1d0681012850c0dd56e	NASIC	812320	Drycleaning and Laundry Services (except Coin-Operated) 	current	2024-12-19		kds_adm	2024-12-19		
a2b62cf2f0c3f0b4dafe63804eb81de8	NASIC	812310	Coin-Operated Laundries and Drycleaners 	current	2024-12-19		kds_adm	2024-12-19		
344560e51c7c5731f697bf00090cea28	NASIC	812220	Cemeteries and Crematories 	current	2024-12-19		kds_adm	2024-12-19		
fca19e8b5eca8b2ce5d14035e3c713bd	NASIC	812210	Funeral Homes and Funeral Services 	current	2024-12-19		kds_adm	2024-12-19		
1bfe01fba8640029f755b4e660ceb303	NASIC	449121	Floor Covering Retailers 	current	2024-12-19		kds_adm	2024-12-19		
811330d15bfade722f5717d991d5f196	NASIC	812199	Other Personal Care Services 	current	2024-12-19		kds_adm	2024-12-19		
807402305815c5ccd02488b1e780dbbe	NASIC	812191	Diet and Weight Reducing Centers 	current	2024-12-19		kds_adm	2024-12-19		
cff25c1908eb9edecd99ce7c0ee5846f	NASIC	812113	Nail Salons 	current	2024-12-19		kds_adm	2024-12-19		
cb498db49a37195a76ed3915465322c2	NASIC	812112	Beauty Salons 	current	2024-12-19		kds_adm	2024-12-19		
2a083dfd4991f082dd376386a3e82b24	NASIC	812111	Barber Shops 	current	2024-12-19		kds_adm	2024-12-19		
7868f67e5ce82a6eec4b91c7648fe1ed	NASIC	811490	Other Personal and Household Goods Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
8024e71fb9497e67cbc0ac5f4a079dab	NASIC	811430	Footwear and Leather Goods Repair	current	2024-12-19		kds_adm	2024-12-19		
57c3273c9e9d66048c719f7e4bd90d4a	NASIC	811420	Reupholstery and Furniture Repair	current	2024-12-19		kds_adm	2024-12-19		
727faaba05eed692944acfece62f5186	NASIC	811412	Appliance Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
a72da6b586bcbd6802692274401c0139	NASIC	811411	Home and Garden Equipment Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
b5af101a515498ec28620cd386ff560c	NASIC	811310	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
8574ec731a9e7a19328af5f6e40a32eb	NASIC	811210	Electronic and Precision Equipment Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
d01a148e6383e32db4e06c9877f58886	NASIC	811198	All Other Automotive Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
389b010de6b5bd74b45c76b4050aff65	NASIC	811192	Car Washes 	current	2024-12-19		kds_adm	2024-12-19		
3c6ee31a6d16ad601b1262291973e80a	NASIC	811191	Automotive Oil Change and Lubrication Shops 	current	2024-12-19		kds_adm	2024-12-19		
c27a8d0c96ee693c35845db41a681ddb	NASIC	811122	Automotive Glass Replacement Shops 	current	2024-12-19		kds_adm	2024-12-19		
d894bb3c21cdfdf5a5a49567e1ef04cc	NASIC	811121	Automotive Body, Paint, and Interior Repair and Maintenance 	current	2024-12-19		kds_adm	2024-12-19		
75cb27108d8e15e03aa6c78f30d6585f	NASIC	811114	Specialized Automotive Repair 	current	2024-12-19		kds_adm	2024-12-19		
212d87b1f638b2ce58f6b8f84c907f98	NASIC	811111	General Automotive Repair 	current	2024-12-19		kds_adm	2024-12-19		
25b917a40e54b4c41a7ff556db2f1a78	NASIC	722515	Snack and Nonalcoholic Beverage Bars 	current	2024-12-19		kds_adm	2024-12-19		
2088c3fbfdc2adb051bc9b10bf024ef9	NASIC	722514	Cafeterias, Grill Buffets, and Buffets 	current	2024-12-19		kds_adm	2024-12-19		
d6c6ab355655e72116dd53729945f40d	NASIC	722513	Limited-Service Restaurants 	current	2024-12-19		kds_adm	2024-12-19		
bf154e2c9adcc78cac18afb910ac446b	NASIC	722511	Full-Service Restaurants 	current	2024-12-19		kds_adm	2024-12-19		
a9c512f88b5b274de7cd926fc98920e1	NASIC	722410	Drinking Places (Alcoholic Beverages) 	current	2024-12-19		kds_adm	2024-12-19		
517ad5fcc9a955abe857d94294afc38b	NASIC	722330	Mobile Food Services	current	2024-12-19		kds_adm	2024-12-19		
2580aab07df2c74700ad39cb9f979a8c	NASIC	722320	Caterers	current	2024-12-19		kds_adm	2024-12-19		
1ecefe9ea74b2c6995639a30973f20eb	NASIC	722310	Food Service Contractors	current	2024-12-19		kds_adm	2024-12-19		
28666ae95ba0643714cda146f9e4adb4	NASIC	721310	Rooming and Boarding Houses, Dormitories, and Workers' Camps 	current	2024-12-19		kds_adm	2024-12-19		
9e890321fc8fe218bd46e0280905a376	NASIC	721214	Recreational and Vacation Camps (except Campgrounds) 	current	2024-12-19		kds_adm	2024-12-19		
516d5e9fcde7d526481949360cbeeddf	NASIC	721211	RV (Recreational Vehicle) Parks and Campgrounds 	current	2024-12-19		kds_adm	2024-12-19		
e8e8e9937abc2296ad19bb3395087de4	NASIC	721199	All Other Traveler Accommodation 	current	2024-12-19		kds_adm	2024-12-19		
26b35b7863a321e151bee11b1dc22122	NASIC	721191	Bed-and-Breakfast Inns 	current	2024-12-19		kds_adm	2024-12-19		
2225b7c12749ef029e513263ad518db7	NASIC	721120	Casino Hotels	current	2024-12-19		kds_adm	2024-12-19		
c7356b48c4d2e002940193af119969ac	NASIC	721110	Hotels (except Casino Hotels) and Motels 	current	2024-12-19		kds_adm	2024-12-19		
11f22dc45f165fd2580ac7104d537f8b	NASIC	713990	All Other Amusement and Recreation Industries 	current	2024-12-19		kds_adm	2024-12-19		
69ff3a709646b75175095ec9de184e97	NASIC	713950	Bowling Centers	current	2024-12-19		kds_adm	2024-12-19		
158aa26b58363949df66eb6cdd96db4a	NASIC	713940	Fitness and Recreational Sports Centers 	current	2024-12-19		kds_adm	2024-12-19		
823fd505460d33d23628e846cd2fda92	NASIC	713930	Marinas	current	2024-12-19		kds_adm	2024-12-19		
88c3979979f573d176aa3af2f18c2fc6	NASIC	713920	Skiing Facilities	current	2024-12-19		kds_adm	2024-12-19		
f8daff5bf7a952992e9d79c47c7d0663	NASIC	713910	Golf Courses and Country Clubs	current	2024-12-19		kds_adm	2024-12-19		
765b5abadaff1e92c9a80b173887d763	NASIC	713290	Other Gambling Industries 	current	2024-12-19		kds_adm	2024-12-19		
dbaf951917a8f9cf2eeedf2475aea35c	NASIC	713210	Casinos (except Casino Hotels)	current	2024-12-19		kds_adm	2024-12-19		
694cce943ae0af642faba3378b71e65a	NASIC	713120	Amusement Arcades	current	2024-12-19		kds_adm	2024-12-19		
fa61336dee343decfa561752e1487891	NASIC	713110	Amusement and Theme Parks 	current	2024-12-19		kds_adm	2024-12-19		
67522b263829e0fba21f32a6c6fb29f8	NASIC	712190	Nature Parks and Other Similar Institutions	current	2024-12-19		kds_adm	2024-12-19		
ea674fad1b91713ccecedd5cc1a12022	NASIC	712130	Zoos and Botanical Gardens 	current	2024-12-19		kds_adm	2024-12-19		
9769b5ac9a03198282cefb26ab968643	NASIC	712120	Historical Sites	current	2024-12-19		kds_adm	2024-12-19		
5fdef4d750967ca7b50fcaee54baa10b	NASIC	712110	Museums 	current	2024-12-19		kds_adm	2024-12-19		
ddc4b621643582df7a88164f73ff62f0	NASIC	711510	Independent Artists, Writers, and Performers 	current	2024-12-19		kds_adm	2024-12-19		
b4860887feb307530ad2219be1e7dbb1	NASIC	711410	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	current	2024-12-19		kds_adm	2024-12-19		
40fca60cc5ee054ca048b0088a136d2c	NASIC	711320	Promoters of Performing Arts, Sports, and Similar Events without Facilities 	current	2024-12-19		kds_adm	2024-12-19		
